Start Time, Fri Nov 18 12:13:19 GMT+0100 2005
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 1195.3105408
Real Time (s), 1200.0005408
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
384, 384, 73
385, 385, 64
386, 386, 82
387, 387, 74
388, 388, 72
389, 389, 85
390, 390, 74
391, 391, 67
392, 392, 77
393, 393, 62
394, 394, 71
395, 395, 75
396, 396, 90
397, 397, 78
398, 398, 80
399, 399, 88
400, 400, 112
401, 401, 105
402, 402, 89
403, 403, 102
404, 404, 116
405, 405, 134
406, 406, 124
407, 407, 170
408, 408, 177
409, 409, 177
410, 410, 201
411, 411, 235
412, 412, 213
413, 413, 272
414, 414, 269
415, 415, 291
416, 416, 289
417, 417, 289
418, 418, 326
419, 419, 362
420, 420, 376
421, 421, 381
422, 422, 400
423, 423, 411
424, 424, 436
425, 425, 423
426, 426, 428
427, 427, 445
428, 428, 464
429, 429, 416
430, 430, 418
431, 431, 399
432, 432, 413
433, 433, 432
434, 434, 403
435, 435, 354
436, 436, 357
437, 437, 340
438, 438, 332
439, 439, 299
440, 440, 313
441, 441, 251
442, 442, 250
443, 443, 225
444, 444, 213
445, 445, 185
446, 446, 174
447, 447, 153
448, 448, 145
449, 449, 109
450, 450, 105
451, 451, 99
452, 452, 114
453, 453, 87
454, 454, 105
455, 455, 80
456, 456, 56
457, 457, 73
458, 458, 67
459, 459, 67
460, 460, 85
461, 461, 69
462, 462, 71
463, 463, 66
464, 464, 62
465, 465, 67
466, 466, 75
467, 467, 53
468, 468, 56
469, 469, 70
470, 470, 55
471, 471, 60
472, 472, 58
473, 473, 60
474, 474, 59
475, 475, 52
476, 476, 61
477, 477, 58
478, 478, 50
479, 479, 52
480, 480, 55
481, 481, 72
482, 482, 57
483, 483, 65
484, 484, 59
485, 485, 54
486, 486, 47
487, 487, 64
488, 488, 55
489, 489, 52
490, 490, 54
491, 491, 52
492, 492, 72
493, 493, 59
494, 494, 53
495, 495, 44
496, 496, 67
497, 497, 44
498, 498, 58
499, 499, 59
500, 500, 45
501, 501, 57
502, 502, 53
503, 503, 60
504, 504, 56
505, 505, 49
506, 506, 57
507, 507, 58
508, 508, 66
509, 509, 65
510, 510, 52
511, 511, 58
512, 512, 58
513, 513, 61
514, 514, 68
515, 515, 49
516, 516, 68
517, 517, 63
518, 518, 54
519, 519, 69
520, 520, 73
521, 521, 63
522, 522, 64
523, 523, 59
524, 524, 66
525, 525, 67
526, 526, 78
527, 527, 64
528, 528, 78
529, 529, 79
530, 530, 61
531, 531, 70
532, 532, 83
533, 533, 78
534, 534, 87
535, 535, 93
536, 536, 81
537, 537, 86
538, 538, 88
539, 539, 76
540, 540, 80
541, 541, 82
542, 542, 92
543, 543, 55
544, 544, 88
545, 545, 69
546, 546, 91
547, 547, 77
548, 548, 76
549, 549, 87
550, 550, 74
551, 551, 82
552, 552, 65
553, 553, 78
554, 554, 58
555, 555, 63
556, 556, 71
557, 557, 59
558, 558, 48
559, 559, 56
560, 560, 65
561, 561, 55
562, 562, 56
563, 563, 53
564, 564, 73
565, 565, 67
566, 566, 67
567, 567, 55
568, 568, 54
569, 569, 56
570, 570, 61
571, 571, 58
572, 572, 64
573, 573, 50
574, 574, 65
575, 575, 64
576, 576, 54
577, 577, 64
578, 578, 52
579, 579, 60
580, 580, 58
581, 581, 51
582, 582, 47
583, 583, 44
584, 584, 54
585, 585, 52
586, 586, 55
587, 587, 69
588, 588, 59
589, 589, 53
590, 590, 61
591, 591, 49
592, 592, 53
593, 593, 57
594, 594, 43
595, 595, 49
596, 596, 43
597, 597, 48
598, 598, 47
599, 599, 49
600, 600, 42
601, 601, 51
602, 602, 46
603, 603, 54
604, 604, 43
605, 605, 43
606, 606, 57
607, 607, 54
608, 608, 55
609, 609, 40
610, 610, 41
611, 611, 46
612, 612, 37
613, 613, 51
614, 614, 33
615, 615, 47
616, 616, 56
617, 617, 52
618, 618, 40
619, 619, 45
620, 620, 37
621, 621, 48
622, 622, 43
623, 623, 35
624, 624, 53
625, 625, 59
626, 626, 49
627, 627, 50
628, 628, 40
629, 629, 55
630, 630, 48
631, 631, 49
632, 632, 56
633, 633, 36
634, 634, 45
635, 635, 47
636, 636, 52
637, 637, 52
638, 638, 61
639, 639, 53
640, 640, 48
641, 641, 70
642, 642, 53
643, 643, 61
644, 644, 43
645, 645, 51
646, 646, 63
647, 647, 52
648, 648, 47
649, 649, 59
650, 650, 60
651, 651, 49
652, 652, 45
653, 653, 45
654, 654, 52
655, 655, 50
656, 656, 55
657, 657, 53
658, 658, 39
659, 659, 49
660, 660, 56
661, 661, 49
662, 662, 46
663, 663, 42
664, 664, 47
665, 665, 46
666, 666, 59
667, 667, 41
668, 668, 42
669, 669, 28
670, 670, 52
671, 671, 36
672, 672, 46
673, 673, 43
674, 674, 31
675, 675, 57
676, 676, 45
677, 677, 33
678, 678, 28
679, 679, 41
680, 680, 40
681, 681, 43
682, 682, 39
683, 683, 49
684, 684, 32
685, 685, 44
686, 686, 41
687, 687, 35
688, 688, 28
689, 689, 36
690, 690, 37
691, 691, 40
692, 692, 34
693, 693, 32
694, 694, 44
695, 695, 49
696, 696, 36
697, 697, 36
698, 698, 36
699, 699, 35
700, 700, 41
701, 701, 43
702, 702, 25
703, 703, 33
704, 704, 42
705, 705, 33
706, 706, 37
707, 707, 40
708, 708, 30
709, 709, 34
710, 710, 27
711, 711, 26
712, 712, 32
713, 713, 29
714, 714, 31
715, 715, 39
716, 716, 37
717, 717, 37
718, 718, 29
719, 719, 38
720, 720, 37
721, 721, 36
722, 722, 35
723, 723, 39
724, 724, 23
725, 725, 34
726, 726, 39
727, 727, 39
728, 728, 27
729, 729, 31
730, 730, 32
731, 731, 37
732, 732, 30
733, 733, 44
734, 734, 37
735, 735, 35
736, 736, 57
737, 737, 60
738, 738, 41
739, 739, 48
740, 740, 52
741, 741, 56
742, 742, 54
743, 743, 51
744, 744, 69
745, 745, 51
746, 746, 61
747, 747, 57
748, 748, 51
749, 749, 60
750, 750, 70
751, 751, 65
752, 752, 70
753, 753, 54
754, 754, 70
755, 755, 78
756, 756, 70
757, 757, 61
758, 758, 105
759, 759, 76
760, 760, 77
761, 761, 73
762, 762, 97
763, 763, 83
764, 764, 95
765, 765, 77
766, 766, 73
767, 767, 69
768, 768, 101
769, 769, 91
770, 770, 83
771, 771, 100
772, 772, 85
773, 773, 85
774, 774, 84
775, 775, 94
776, 776, 80
777, 777, 102
778, 778, 76
779, 779, 66
780, 780, 92
781, 781, 71
782, 782, 65
783, 783, 62
784, 784, 68
785, 785, 77
786, 786, 57
787, 787, 52
788, 788, 47
789, 789, 66
790, 790, 50
791, 791, 69
792, 792, 48
793, 793, 66
794, 794, 40
795, 795, 56
796, 796, 48
797, 797, 50
798, 798, 46
799, 799, 45
800, 800, 58
801, 801, 50
802, 802, 36
803, 803, 42
804, 804, 44
805, 805, 50
806, 806, 37
807, 807, 43
808, 808, 36
809, 809, 27
810, 810, 46
811, 811, 38
812, 812, 48
813, 813, 32
814, 814, 28
815, 815, 41
816, 816, 38
817, 817, 44
818, 818, 42
819, 819, 24
820, 820, 29
821, 821, 40
822, 822, 33
823, 823, 40
824, 824, 37
825, 825, 41
826, 826, 36
827, 827, 38
828, 828, 34
829, 829, 43
830, 830, 27
831, 831, 39
832, 832, 38
833, 833, 37
834, 834, 45
835, 835, 49
836, 836, 53
837, 837, 51
838, 838, 39
839, 839, 36
840, 840, 52
841, 841, 51
842, 842, 42
843, 843, 39
844, 844, 50
845, 845, 49
846, 846, 42
847, 847, 44
848, 848, 45
849, 849, 51
850, 850, 54
851, 851, 33
852, 852, 44
853, 853, 45
854, 854, 36
855, 855, 34
856, 856, 41
857, 857, 39
858, 858, 38
859, 859, 47
860, 860, 39
861, 861, 36
862, 862, 42
863, 863, 41
864, 864, 34
865, 865, 28
866, 866, 44
867, 867, 36
868, 868, 34
869, 869, 38
870, 870, 37
871, 871, 41
872, 872, 43
873, 873, 44
874, 874, 25
875, 875, 42
876, 876, 39
877, 877, 23
878, 878, 28
879, 879, 37
880, 880, 28
881, 881, 30
882, 882, 39
883, 883, 30
884, 884, 28
885, 885, 32
886, 886, 26
887, 887, 24
888, 888, 31
889, 889, 24
890, 890, 23
891, 891, 23
892, 892, 28
893, 893, 25
894, 894, 29
895, 895, 30
896, 896, 33
897, 897, 20
898, 898, 29
899, 899, 34
900, 900, 21
901, 901, 34
902, 902, 27
903, 903, 26
904, 904, 28
905, 905, 19
906, 906, 25
907, 907, 21
908, 908, 33
909, 909, 23
910, 910, 20
911, 911, 23
912, 912, 37
913, 913, 36
914, 914, 31
915, 915, 42
916, 916, 36
917, 917, 26
918, 918, 34
919, 919, 35
920, 920, 33
921, 921, 30
922, 922, 35
923, 923, 40
924, 924, 33
925, 925, 31
926, 926, 39
927, 927, 22
928, 928, 39
929, 929, 28
930, 930, 29
931, 931, 51
932, 932, 36
933, 933, 47
934, 934, 47
935, 935, 31
936, 936, 38
937, 937, 47
938, 938, 50
939, 939, 40
940, 940, 48
941, 941, 46
942, 942, 41
943, 943, 49
944, 944, 54
945, 945, 40
946, 946, 42
947, 947, 49
948, 948, 44
949, 949, 44
950, 950, 52
951, 951, 50
952, 952, 54
953, 953, 45
954, 954, 52
955, 955, 52
956, 956, 50
957, 957, 40
958, 958, 45
959, 959, 37
960, 960, 39
961, 961, 57
962, 962, 50
963, 963, 42
964, 964, 26
965, 965, 56
966, 966, 50
967, 967, 51
968, 968, 35
969, 969, 35
970, 970, 39
971, 971, 37
972, 972, 56
973, 973, 39
974, 974, 48
975, 975, 39
976, 976, 40
977, 977, 39
978, 978, 36
979, 979, 40
980, 980, 44
981, 981, 38
982, 982, 41
983, 983, 46
984, 984, 35
985, 985, 39
986, 986, 34
987, 987, 37
988, 988, 41
989, 989, 41
990, 990, 40
991, 991, 42
992, 992, 29
993, 993, 41
994, 994, 36
995, 995, 35
996, 996, 36
997, 997, 27
998, 998, 29
999, 999, 34
1000, 1000, 29
1001, 1001, 32
1002, 1002, 32
1003, 1003, 33
1004, 1004, 39
1005, 1005, 37
1006, 1006, 37
1007, 1007, 38
1008, 1008, 29
1009, 1009, 26
1010, 1010, 33
1011, 1011, 23
1012, 1012, 30
1013, 1013, 36
1014, 1014, 23
1015, 1015, 29
1016, 1016, 30
1017, 1017, 22
1018, 1018, 20
1019, 1019, 32
1020, 1020, 22
1021, 1021, 22
1022, 1022, 25
1023, 1023, 33
1024, 1024, 0
