Start Time, Fri Nov 18 12:37:33 GMT+0100 2005
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 1195.3305407999999
Real Time (s), 1200.0005408
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
385, 385, 18
386, 386, 18
387, 387, 23
388, 388, 21
389, 389, 18
390, 390, 14
391, 391, 12
392, 392, 18
393, 393, 26
394, 394, 19
395, 395, 19
396, 396, 20
397, 397, 15
398, 398, 16
399, 399, 13
400, 400, 16
401, 401, 17
402, 402, 16
403, 403, 19
404, 404, 19
405, 405, 18
406, 406, 23
407, 407, 17
408, 408, 17
409, 409, 21
410, 410, 15
411, 411, 13
412, 412, 18
413, 413, 15
414, 414, 27
415, 415, 15
416, 416, 16
417, 417, 22
418, 418, 14
419, 419, 17
420, 420, 18
421, 421, 22
422, 422, 14
423, 423, 19
424, 424, 21
425, 425, 22
426, 426, 19
427, 427, 12
428, 428, 18
429, 429, 19
430, 430, 21
431, 431, 20
432, 432, 11
433, 433, 23
434, 434, 17
435, 435, 18
436, 436, 26
437, 437, 19
438, 438, 21
439, 439, 20
440, 440, 13
441, 441, 20
442, 442, 14
443, 443, 13
444, 444, 13
445, 445, 28
446, 446, 17
447, 447, 15
448, 448, 15
449, 449, 10
450, 450, 14
451, 451, 19
452, 452, 10
453, 453, 21
454, 454, 17
455, 455, 17
456, 456, 16
457, 457, 16
458, 458, 12
459, 459, 16
460, 460, 8
461, 461, 13
462, 462, 13
463, 463, 10
464, 464, 16
465, 465, 19
466, 466, 13
467, 467, 14
468, 468, 8
469, 469, 27
470, 470, 11
471, 471, 14
472, 472, 7
473, 473, 20
474, 474, 15
475, 475, 13
476, 476, 16
477, 477, 16
478, 478, 8
479, 479, 19
480, 480, 14
481, 481, 11
482, 482, 22
483, 483, 19
484, 484, 10
485, 485, 4
486, 486, 11
487, 487, 16
488, 488, 15
489, 489, 15
490, 490, 16
491, 491, 12
492, 492, 9
493, 493, 18
494, 494, 19
495, 495, 12
496, 496, 14
497, 497, 17
498, 498, 15
499, 499, 27
500, 500, 18
501, 501, 16
502, 502, 14
503, 503, 8
504, 504, 13
505, 505, 13
506, 506, 9
507, 507, 15
508, 508, 15
509, 509, 13
510, 510, 18
511, 511, 11
512, 512, 17
513, 513, 8
514, 514, 14
515, 515, 23
516, 516, 14
517, 517, 11
518, 518, 16
519, 519, 17
520, 520, 12
521, 521, 21
522, 522, 7
523, 523, 19
524, 524, 10
525, 525, 9
526, 526, 17
527, 527, 15
528, 528, 17
529, 529, 18
530, 530, 10
531, 531, 8
532, 532, 11
533, 533, 21
534, 534, 14
535, 535, 18
536, 536, 14
537, 537, 20
538, 538, 7
539, 539, 5
540, 540, 11
541, 541, 20
542, 542, 8
543, 543, 11
544, 544, 14
545, 545, 13
546, 546, 15
547, 547, 14
548, 548, 14
549, 549, 13
550, 550, 8
551, 551, 13
552, 552, 14
553, 553, 13
554, 554, 14
555, 555, 15
556, 556, 11
557, 557, 14
558, 558, 8
559, 559, 15
560, 560, 11
561, 561, 12
562, 562, 14
563, 563, 16
564, 564, 15
565, 565, 6
566, 566, 13
567, 567, 18
568, 568, 18
569, 569, 21
570, 570, 12
571, 571, 16
572, 572, 20
573, 573, 15
574, 574, 23
575, 575, 17
576, 576, 12
577, 577, 13
578, 578, 8
579, 579, 8
580, 580, 17
581, 581, 6
582, 582, 14
583, 583, 10
584, 584, 12
585, 585, 16
586, 586, 15
587, 587, 10
588, 588, 25
589, 589, 9
590, 590, 17
591, 591, 13
592, 592, 15
593, 593, 10
594, 594, 19
595, 595, 16
596, 596, 13
597, 597, 8
598, 598, 16
599, 599, 10
600, 600, 12
601, 601, 12
602, 602, 17
603, 603, 9
604, 604, 19
605, 605, 13
606, 606, 10
607, 607, 15
608, 608, 11
609, 609, 12
610, 610, 15
611, 611, 12
612, 612, 16
613, 613, 7
614, 614, 17
615, 615, 17
616, 616, 10
617, 617, 15
618, 618, 14
619, 619, 14
620, 620, 15
621, 621, 7
622, 622, 19
623, 623, 14
624, 624, 6
625, 625, 11
626, 626, 5
627, 627, 10
628, 628, 10
629, 629, 16
630, 630, 17
631, 631, 13
632, 632, 14
633, 633, 12
634, 634, 12
635, 635, 14
636, 636, 12
637, 637, 22
638, 638, 11
639, 639, 11
640, 640, 11
641, 641, 15
642, 642, 16
643, 643, 9
644, 644, 13
645, 645, 13
646, 646, 6
647, 647, 14
648, 648, 14
649, 649, 15
650, 650, 12
651, 651, 11
652, 652, 9
653, 653, 7
654, 654, 12
655, 655, 12
656, 656, 11
657, 657, 15
658, 658, 13
659, 659, 13
660, 660, 11
661, 661, 11
662, 662, 13
663, 663, 25
664, 664, 9
665, 665, 17
666, 666, 15
667, 667, 12
668, 668, 10
669, 669, 7
