Start Time, Mon Nov 7 13:20:18 GMT+0100 2022
Energy calibration,  Offset: 0, Slope: 2, Quadratic: 0
Live Time (s), 600
Real Time (s), 600.13184
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
386, 772, 9
387, 774, 11
388, 776, 9
389, 778, 15
390, 780, 11
391, 782, 9
392, 784, 5
393, 786, 6
394, 788, 10
395, 790, 11
396, 792, 8
397, 794, 17
398, 796, 12
399, 798, 10
400, 800, 9
401, 802, 15
402, 804, 8
403, 806, 20
404, 808, 13
405, 810, 14
406, 812, 9
407, 814, 15
408, 816, 14
409, 818, 14
410, 820, 14
411, 822, 16
412, 824, 9
413, 826, 15
414, 828, 21
415, 830, 23
416, 832, 17
417, 834, 17
418, 836, 28
419, 838, 24
420, 840, 33
421, 842, 28
422, 844, 20
423, 846, 26
424, 848, 22
425, 850, 31
426, 852, 27
427, 854, 25
428, 856, 32
429, 858, 26
430, 860, 18
431, 862, 18
432, 864, 26
433, 866, 21
434, 868, 35
435, 870, 22
436, 872, 27
437, 874, 18
438, 876, 18
439, 878, 17
440, 880, 17
441, 882, 17
442, 884, 12
443, 886, 12
444, 888, 17
445, 890, 15
446, 892, 10
447, 894, 9
448, 896, 11
449, 898, 9
450, 900, 17
451, 902, 12
452, 904, 10
453, 906, 16
454, 908, 10
455, 910, 12
456, 912, 6
457, 914, 6
458, 916, 9
459, 918, 7
460, 920, 6
461, 922, 12
462, 924, 8
463, 926, 9
464, 928, 9
465, 930, 11
466, 932, 9
467, 934, 13
468, 936, 10
469, 938, 7
470, 940, 6
471, 942, 6
472, 944, 8
473, 946, 11
474, 948, 12
475, 950, 7
476, 952, 10
477, 954, 11
478, 956, 5
479, 958, 10
480, 960, 9
481, 962, 8
482, 964, 9
483, 966, 11
484, 968, 7
485, 970, 8
486, 972, 7
487, 974, 12
488, 976, 10
489, 978, 11
490, 980, 8
491, 982, 6
492, 984, 4
493, 986, 8
494, 988, 9
495, 990, 5
496, 992, 6
497, 994, 11
498, 996, 11
499, 998, 12
500, 1000, 8
501, 1002, 7
502, 1004, 12
503, 1006, 6
504, 1008, 6
505, 1010, 10
506, 1012, 2
507, 1014, 8
508, 1016, 6
509, 1018, 11
510, 1020, 7
511, 1022, 7
512, 1024, 4
513, 1026, 9
514, 1028, 10
515, 1030, 8
516, 1032, 9
517, 1034, 11
518, 1036, 15
519, 1038, 13
520, 1040, 9
521, 1042, 12
522, 1044, 7
523, 1046, 7
524, 1048, 14
525, 1050, 9
526, 1052, 13
527, 1054, 9
528, 1056, 8
529, 1058, 5
530, 1060, 10
531, 1062, 12
532, 1064, 12
533, 1066, 11
534, 1068, 15
535, 1070, 9
536, 1072, 10
537, 1074, 9
538, 1076, 12
539, 1078, 9
540, 1080, 14
541, 1082, 15
542, 1084, 6
543, 1086, 11
544, 1088, 6
545, 1090, 7
546, 1092, 7
547, 1094, 7
548, 1096, 9
549, 1098, 11
550, 1100, 7
551, 1102, 4
552, 1104, 8
553, 1106, 3
554, 1108, 9
555, 1110, 9
556, 1112, 9
557, 1114, 7
558, 1116, 8
559, 1118, 10
560, 1120, 3
561, 1122, 3
562, 1124, 9
563, 1126, 3
564, 1128, 7
565, 1130, 6
566, 1132, 5
567, 1134, 15
568, 1136, 12
569, 1138, 7
570, 1140, 7
571, 1142, 9
572, 1144, 6
573, 1146, 5
574, 1148, 7
575, 1150, 7
576, 1152, 4
577, 1154, 6
578, 1156, 14
579, 1158, 8
580, 1160, 2
581, 1162, 11
582, 1164, 8
583, 1166, 10
584, 1168, 9
585, 1170, 6
586, 1172, 9
587, 1174, 6
588, 1176, 6
589, 1178, 5
590, 1180, 7
591, 1182, 7
592, 1184, 10
593, 1186, 9
594, 1188, 10
595, 1190, 3
596, 1192, 8
597, 1194, 10
598, 1196, 8
599, 1198, 7
600, 1200, 6
601, 1202, 8
602, 1204, 8
603, 1206, 5
604, 1208, 5
605, 1210, 5
606, 1212, 6
607, 1214, 4
608, 1216, 8
609, 1218, 8
610, 1220, 7
611, 1222, 8
612, 1224, 11
613, 1226, 2
614, 1228, 9
615, 1230, 8
616, 1232, 7
617, 1234, 4
618, 1236, 5
619, 1238, 14
620, 1240, 10
621, 1242, 5
622, 1244, 6
623, 1246, 7
624, 1248, 8
625, 1250, 8
626, 1252, 12
627, 1254, 9
628, 1256, 8
629, 1258, 10
630, 1260, 6
631, 1262, 9
632, 1264, 5
633, 1266, 3
634, 1268, 8
635, 1270, 4
636, 1272, 5
637, 1274, 9
638, 1276, 9
639, 1278, 9
640, 1280, 9
641, 1282, 8
642, 1284, 8
643, 1286, 6
644, 1288, 8
645, 1290, 7
646, 1292, 7
647, 1294, 4
648, 1296, 9
649, 1298, 8
650, 1300, 4
651, 1302, 8
652, 1304, 7
653, 1306, 6
654, 1308, 7
655, 1310, 6
656, 1312, 9
657, 1314, 3
658, 1316, 6
659, 1318, 5
660, 1320, 8
661, 1322, 7
662, 1324, 6
663, 1326, 4
664, 1328, 7
665, 1330, 9
666, 1332, 8
667, 1334, 7
668, 1336, 5
669, 1338, 1
670, 1340, 8
671, 1342, 7
672, 1344, 5
673, 1346, 7
674, 1348, 2
675, 1350, 6
676, 1352, 8
677, 1354, 9
678, 1356, 6
679, 1358, 7
680, 1360, 4
681, 1362, 7
682, 1364, 5
683, 1366, 7
684, 1368, 6
685, 1370, 7
686, 1372, 11
687, 1374, 7
688, 1376, 5
689, 1378, 7
690, 1380, 6
691, 1382, 7
692, 1384, 2
693, 1386, 7
694, 1388, 4
695, 1390, 7
696, 1392, 5
697, 1394, 8
698, 1396, 4
699, 1398, 5
700, 1400, 6
701, 1402, 6
702, 1404, 5
703, 1406, 6
704, 1408, 4
705, 1410, 6
706, 1412, 2
707, 1414, 5
708, 1416, 3
709, 1418, 8
710, 1420, 7
711, 1422, 4
712, 1424, 3
713, 1426, 7
714, 1428, 8
715, 1430, 6
716, 1432, 3
717, 1434, 8
718, 1436, 3
719, 1438, 6
720, 1440, 3
721, 1442, 7
722, 1444, 8
723, 1446, 7
724, 1448, 3
725, 1450, 8
726, 1452, 4
727, 1454, 4
728, 1456, 7
729, 1458, 6
730, 1460, 5
731, 1462, 7
732, 1464, 3
733, 1466, 10
734, 1468, 5
735, 1470, 5
736, 1472, 5
737, 1474, 2
738, 1476, 4
739, 1478, 5
740, 1480, 4
741, 1482, 6
742, 1484, 9
743, 1486, 10
744, 1488, 5
745, 1490, 7
746, 1492, 4
747, 1494, 10
748, 1496, 6
749, 1498, 6
750, 1500, 5
751, 1502, 6
752, 1504, 7
753, 1506, 13
754, 1508, 11
755, 1510, 4
756, 1512, 12
757, 1514, 6
758, 1516, 8
759, 1518, 11
760, 1520, 13
761, 1522, 12
762, 1524, 10
763, 1526, 6
764, 1528, 5
765, 1530, 5
766, 1532, 9
767, 1534, 10
768, 1536, 6
769, 1538, 4
770, 1540, 7
771, 1542, 5
772, 1544, 7
773, 1546, 8
774, 1548, 6
775, 1550, 4
776, 1552, 8
777, 1554, 5
778, 1556, 9
779, 1558, 8
780, 1560, 6
781, 1562, 6
782, 1564, 10
783, 1566, 6
784, 1568, 3
785, 1570, 3
786, 1572, 6
787, 1574, 5
788, 1576, 5
789, 1578, 8
790, 1580, 4
791, 1582, 3
792, 1584, 11
793, 1586, 3
794, 1588, 5
795, 1590, 3
796, 1592, 2
797, 1594, 8
798, 1596, 6
799, 1598, 4
800, 1600, 12
801, 1602, 2
802, 1604, 6
803, 1606, 6
804, 1608, 4
805, 1610, 5
806, 1612, 5
807, 1614, 5
808, 1616, 1
809, 1618, 2
810, 1620, 2
811, 1622, 3
812, 1624, 6
813, 1626, 5
814, 1628, 3
815, 1630, 5
816, 1632, 5
817, 1634, 4
818, 1636, 6
819, 1638, 3
820, 1640, 8
821, 1642, 3
822, 1644, 6
823, 1646, 10
824, 1648, 4
825, 1650, 4
826, 1652, 4
827, 1654, 7
828, 1656, 5
829, 1658, 9
830, 1660, 5
831, 1662, 3
832, 1664, 4
833, 1666, 6
834, 1668, 6
835, 1670, 6
836, 1672, 9
837, 1674, 1
838, 1676, 6
839, 1678, 3
840, 1680, 5
841, 1682, 4
842, 1684, 2
843, 1686, 3
844, 1688, 6
845, 1690, 7
846, 1692, 5
847, 1694, 9
848, 1696, 3
849, 1698, 11
850, 1700, 1
851, 1702, 5
852, 1704, 7
853, 1706, 2
854, 1708, 5
855, 1710, 3
856, 1712, 8
857, 1714, 2
858, 1716, 2
859, 1718, 3
860, 1720, 5
861, 1722, 3
862, 1724, 6
863, 1726, 4
864, 1728, 6
865, 1730, 10
866, 1732, 4
867, 1734, 6
868, 1736, 4
869, 1738, 7
870, 1740, 4
871, 1742, 3
872, 1744, 4
873, 1746, 5
874, 1748, 4
875, 1750, 4
876, 1752, 2
877, 1754, 3
878, 1756, 0
879, 1758, 1
880, 1760, 1
881, 1762, 5
882, 1764, 3
883, 1766, 5
884, 1768, 2
885, 1770, 7
886, 1772, 5
887, 1774, 3
888, 1776, 3
889, 1778, 2
890, 1780, 4
891, 1782, 4
892, 1784, 3
893, 1786, 4
894, 1788, 1
895, 1790, 3
896, 1792, 4
897, 1794, 3
898, 1796, 3
899, 1798, 1
900, 1800, 3
901, 1802, 1
902, 1804, 0
903, 1806, 5
904, 1808, 1
905, 1810, 4
906, 1812, 2
907, 1814, 1
908, 1816, 2
909, 1818, 3
910, 1820, 3
911, 1822, 7
912, 1824, 5
913, 1826, 4
914, 1828, 2
915, 1830, 4
916, 1832, 5
917, 1834, 1
918, 1836, 6
919, 1838, 9
920, 1840, 3
921, 1842, 1
922, 1844, 2
923, 1846, 1
924, 1848, 4
925, 1850, 4
926, 1852, 3
927, 1854, 9
928, 1856, 3
929, 1858, 3
930, 1860, 3
931, 1862, 6
932, 1864, 8
933, 1866, 4
934, 1868, 6
935, 1870, 4
936, 1872, 6
937, 1874, 5
938, 1876, 3
939, 1878, 5
940, 1880, 5
941, 1882, 7
942, 1884, 4
943, 1886, 5
944, 1888, 4
945, 1890, 2
946, 1892, 4
947, 1894, 4
948, 1896, 6
949, 1898, 7
950, 1900, 6
951, 1902, 6
952, 1904, 9
953, 1906, 6
954, 1908, 13
955, 1910, 5
956, 1912, 7
957, 1914, 5
958, 1916, 6
959, 1918, 4
960, 1920, 10
961, 1922, 7
962, 1924, 9
963, 1926, 5
964, 1928, 13
965, 1930, 11
966, 1932, 5
967, 1934, 8
968, 1936, 4
969, 1938, 7
970, 1940, 10
971, 1942, 8
972, 1944, 6
973, 1946, 10
974, 1948, 5
975, 1950, 5
976, 1952, 7
977, 1954, 7
978, 1956, 8
979, 1958, 3
980, 1960, 5
981, 1962, 9
982, 1964, 5
983, 1966, 5
984, 1968, 7
985, 1970, 5
986, 1972, 5
987, 1974, 8
988, 1976, 10
989, 1978, 6
990, 1980, 3
991, 1982, 10
992, 1984, 6
993, 1986, 6
994, 1988, 9
995, 1990, 5
996, 1992, 4
997, 1994, 6
998, 1996, 8
999, 1998, 6
1000, 2000, 3
1001, 2002, 6
1002, 2004, 6
1003, 2006, 2
1004, 2008, 9
1005, 2010, 4
1006, 2012, 9
1007, 2014, 8
1008, 2016, 8
1009, 2018, 8
1010, 2020, 3
1011, 2022, 2
1012, 2024, 7
1013, 2026, 3
1014, 2028, 6
1015, 2030, 2
1016, 2032, 2
1017, 2034, 5
1018, 2036, 2
1019, 2038, 4
1020, 2040, 3
1021, 2042, 3
1022, 2044, 3
1023, 2046, 4
1024, 2048, 3
