Start Time, Mon Nov 7 12:42:36 GMT+0100 2022
Energy calibration,  Offset: 0, Slope: 2, Quadratic: 0
Live Time (s), 187.677162
Real Time (s), 192.375417
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
361, 722, 282
362, 724, 239
363, 726, 267
364, 728, 243
365, 730, 267
366, 732, 262
367, 734, 254
368, 736, 260
369, 738, 264
370, 740, 233
371, 742, 279
372, 744, 270
373, 746, 261
374, 748, 241
375, 750, 238
376, 752, 233
377, 754, 228
378, 756, 225
379, 758, 238
380, 760, 256
381, 762, 249
382, 764, 268
383, 766, 241
384, 768, 240
385, 770, 250
386, 772, 251
387, 774, 250
388, 776, 243
389, 778, 281
390, 780, 282
391, 782, 236
392, 784, 253
393, 786, 280
394, 788, 266
395, 790, 282
396, 792, 315
397, 794, 313
398, 796, 324
399, 798, 339
400, 800, 406
401, 802, 378
402, 804, 394
403, 806, 444
404, 808, 490
405, 810, 482
406, 812, 563
407, 814, 547
408, 816, 567
409, 818, 641
410, 820, 663
411, 822, 728
412, 824, 803
413, 826, 838
414, 828, 933
415, 830, 946
416, 832, 1005
417, 834, 1058
418, 836, 1117
419, 838, 1182
420, 840, 1328
421, 842, 1211
422, 844, 1379
423, 846, 1329
424, 848, 1381
425, 850, 1382
426, 852, 1482
427, 854, 1456
428, 856, 1484
429, 858, 1507
430, 860, 1505
431, 862, 1430
432, 864, 1471
433, 866, 1442
434, 868, 1295
435, 870, 1273
436, 872, 1244
437, 874, 1225
438, 876, 1216
439, 878, 1210
440, 880, 1098
441, 882, 989
442, 884, 943
443, 886, 883
444, 888, 812
445, 890, 736
446, 892, 746
447, 894, 653
448, 896, 580
449, 898, 579
450, 900, 503
451, 902, 475
452, 904, 439
453, 906, 417
454, 908, 392
455, 910, 351
456, 912, 331
457, 914, 263
458, 916, 292
459, 918, 253
460, 920, 226
461, 922, 258
462, 924, 213
463, 926, 220
464, 928, 204
465, 930, 228
466, 932, 236
467, 934, 216
468, 936, 227
469, 938, 214
470, 940, 214
471, 942, 222
472, 944, 204
473, 946, 204
474, 948, 197
475, 950, 190
476, 952, 174
477, 954, 199
478, 956, 206
479, 958, 186
480, 960, 215
481, 962, 220
482, 964, 216
483, 966, 227
484, 968, 233
485, 970, 194
486, 972, 200
487, 974, 193
488, 976, 192
489, 978, 203
490, 980, 189
491, 982, 197
492, 984, 237
493, 986, 187
494, 988, 217
495, 990, 192
496, 992, 211
497, 994, 216
498, 996, 187
499, 998, 212
500, 1000, 200
501, 1002, 224
502, 1004, 197
503, 1006, 205
504, 1008, 194
505, 1010, 232
506, 1012, 207
507, 1014, 206
508, 1016, 210
509, 1018, 207
510, 1020, 224
511, 1022, 229
512, 1024, 219
513, 1026, 240
514, 1028, 223
515, 1030, 235
516, 1032, 231
517, 1034, 217
518, 1036, 246
519, 1038, 206
520, 1040, 227
521, 1042, 239
522, 1044, 265
523, 1046, 254
