Start Time, Mon Nov 7 12:54:06 GMT+0100 2022
Energy calibration,  Offset: 0, Slope: 2, Quadratic: 0
Live Time (s), 600
Real Time (s), 600.082092
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
386, 772, 7
387, 774, 4
388, 776, 11
389, 778, 4
390, 780, 4
391, 782, 10
392, 784, 7
393, 786, 7
394, 788, 11
395, 790, 7
396, 792, 5
397, 794, 6
398, 796, 6
399, 798, 5
400, 800, 8
401, 802, 8
402, 804, 9
403, 806, 8
404, 808, 4
405, 810, 6
406, 812, 9
407, 814, 9
408, 816, 11
409, 818, 8
410, 820, 8
411, 822, 9
412, 824, 9
413, 826, 2
414, 828, 10
415, 830, 10
416, 832, 9
417, 834, 6
418, 836, 9
419, 838, 3
420, 840, 7
421, 842, 10
422, 844, 2
423, 846, 7
424, 848, 7
425, 850, 11
426, 852, 8
427, 854, 11
428, 856, 13
429, 858, 9
430, 860, 8
431, 862, 5
432, 864, 7
433, 866, 3
434, 868, 9
435, 870, 6
436, 872, 3
437, 874, 15
438, 876, 11
439, 878, 9
440, 880, 10
441, 882, 13
442, 884, 3
443, 886, 4
444, 888, 6
445, 890, 6
446, 892, 9
447, 894, 5
448, 896, 10
449, 898, 7
450, 900, 8
451, 902, 11
452, 904, 6
453, 906, 9
454, 908, 7
455, 910, 6
456, 912, 9
457, 914, 9
458, 916, 9
459, 918, 4
460, 920, 9
461, 922, 7
462, 924, 8
463, 926, 7
464, 928, 6
465, 930, 7
466, 932, 11
467, 934, 7
468, 936, 5
469, 938, 7
470, 940, 6
471, 942, 10
472, 944, 4
473, 946, 12
474, 948, 5
475, 950, 5
476, 952, 7
477, 954, 8
478, 956, 7
479, 958, 5
480, 960, 9
481, 962, 2
482, 964, 2
483, 966, 8
484, 968, 5
485, 970, 10
486, 972, 4
487, 974, 5
488, 976, 7
489, 978, 9
490, 980, 6
491, 982, 6
492, 984, 3
493, 986, 5
494, 988, 10
495, 990, 11
496, 992, 6
497, 994, 5
498, 996, 5
499, 998, 8
500, 1000, 4
501, 1002, 11
502, 1004, 5
503, 1006, 2
504, 1008, 0
505, 1010, 6
506, 1012, 8
507, 1014, 4
508, 1016, 7
509, 1018, 4
510, 1020, 8
