Start Time, Mon Nov 7 12:37:49 GMT+0100 2022
Energy calibration,  Offset: 0, Slope: 2, Quadratic: 0
Live Time (s), 127.537086
Real Time (s), 127.978867
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
386, 772, 66
387, 774, 58
388, 776, 32
389, 778, 38
390, 780, 35
391, 782, 39
392, 784, 27
393, 786, 33
394, 788, 33
395, 790, 20
396, 792, 27
397, 794, 19
398, 796, 19
399, 798, 19
400, 800, 15
401, 802, 23
402, 804, 18
403, 806, 13
404, 808, 24
405, 810, 18
406, 812, 29
407, 814, 18
408, 816, 15
409, 818, 30
410, 820, 15
411, 822, 16
412, 824, 29
413, 826, 18
414, 828, 25
415, 830, 33
416, 832, 21
417, 834, 24
418, 836, 36
419, 838, 22
420, 840, 22
421, 842, 18
422, 844, 20
423, 846, 19
424, 848, 30
425, 850, 25
426, 852, 21
427, 854, 14
428, 856, 27
429, 858, 19
430, 860, 22
431, 862, 18
432, 864, 24
433, 866, 14
434, 868, 19
435, 870, 22
436, 872, 18
437, 874, 21
438, 876, 19
439, 878, 16
440, 880, 12
441, 882, 23
442, 884, 10
443, 886, 16
444, 888, 6
445, 890, 16
446, 892, 17
447, 894, 12
448, 896, 18
449, 898, 16
450, 900, 20
451, 902, 26
452, 904, 27
453, 906, 15
454, 908, 19
455, 910, 22
456, 912, 15
457, 914, 14
458, 916, 21
459, 918, 13
460, 920, 15
461, 922, 17
462, 924, 24
463, 926, 13
464, 928, 20
465, 930, 23
466, 932, 12
467, 934, 20
468, 936, 23
469, 938, 21
470, 940, 19
471, 942, 22
472, 944, 18
473, 946, 25
474, 948, 14
475, 950, 25
476, 952, 13
477, 954, 30
478, 956, 24
479, 958, 20
480, 960, 31
481, 962, 19
482, 964, 18
483, 966, 22
484, 968, 15
485, 970, 24
486, 972, 31
487, 974, 17
488, 976, 20
489, 978, 17
490, 980, 25
491, 982, 28
492, 984, 26
493, 986, 23
494, 988, 23
495, 990, 20
496, 992, 21
497, 994, 19
498, 996, 18
499, 998, 15
500, 1000, 11
501, 1002, 27
502, 1004, 16
503, 1006, 21
504, 1008, 21
505, 1010, 22
506, 1012, 16
507, 1014, 18
508, 1016, 25
509, 1018, 25
510, 1020, 22
511, 1022, 11
512, 1024, 18
513, 1026, 20
514, 1028, 17
515, 1030, 17
516, 1032, 14
517, 1034, 18
518, 1036, 14
519, 1038, 15
520, 1040, 23
521, 1042, 12
522, 1044, 24
523, 1046, 23
524, 1048, 24
525, 1050, 21
